EllipObject 16733, PlaneEdges 532( V 532, P 0 )
 -> Valid edges : 
   v 233 : 1.19836e-09
   v 234 : 0
   v 235 : 6.66628e-16
   v 236 : 3.29951e-16
   v 237 : 1.19836e-09
   v 238 : 0
   v 239 : 6.66628e-16
   v 240 : 3.29951e-16
   v 241 : 1.19836e-09
   v 242 : 0
   v 243 : 6.66628e-16
   v 244 : 3.29951e-16
   v 245 : 1.19836e-09
   v 246 : 0
   v 247 : 6.66628e-16
   v 248 : 3.29951e-16
   v 249 : 1.19836e-09
   v 250 : 0
   v 251 : 6.66628e-16
   v 252 : 3.29951e-16
   v 253 : 1.19836e-09
   v 254 : 0
   v 255 : 6.66628e-16
   v 256 : 3.29951e-16
   v 257 : 1.19836e-09
   v 258 : 0
   v 259 : 6.66628e-16
   v 260 : 3.29951e-16
   v 261 : 1.19836e-09
   v 262 : 0
   v 263 : 6.66628e-16
   v 264 : 3.29951e-16
   v 265 : 1.19836e-09
   v 266 : 0
   v 267 : 6.66628e-16
   v 268 : 3.29951e-16
   v 269 : 1.19836e-09
   v 270 : 0
   v 271 : 6.66628e-16
   v 272 : 3.29951e-16
   v 273 : 1.19836e-09
   v 274 : 0
   v 275 : 6.66628e-16
   v 276 : 3.29951e-16
   v 277 : 1.19836e-09
   v 278 : 0
   v 279 : 6.66628e-16
   v 280 : 3.29951e-16
   v 281 : 1.19836e-09
   v 282 : 0
   v 283 : 6.66628e-16
   v 284 : 3.29951e-16
   v 285 : 1.19836e-09
   v 286 : 0
   v 287 : 6.66628e-16
   v 288 : 3.29951e-16
   v 289 : 1.19836e-09
   v 290 : 0
   v 291 : 6.66628e-16
   v 292 : 3.29951e-16
   v 293 : 1.19836e-09
   v 294 : 0
   v 295 : 6.66628e-16
   v 296 : 3.29951e-16
   v 297 : 1.19836e-09
   v 298 : 0
   v 299 : 6.66628e-16
   v 300 : 3.29951e-16
   v 301 : 1.19836e-09
   v 302 : 0
   v 303 : 6.66628e-16
   v 304 : 3.29951e-16
   v 305 : 1.19836e-09
   v 306 : 0
   v 307 : 6.66628e-16
   v 308 : 3.29951e-16
   v 309 : 1.19836e-09
   v 310 : 0
   v 311 : 6.66628e-16
   v 312 : 3.29951e-16
   v 313 : 1.19836e-09
   v 314 : 0
   v 315 : 6.66628e-16
   v 316 : 3.29951e-16
   v 317 : 1.19836e-09
   v 318 : 0
   v 319 : 6.66628e-16
   v 320 : 3.29951e-16
   v 321 : 1.19836e-09
   v 322 : 0
   v 323 : 6.66628e-16
   v 324 : 3.29951e-16
   v 325 : 1.19836e-09
   v 326 : 0
   v 327 : 6.66628e-16
   v 328 : 3.29951e-16
   v 329 : 1.19836e-09
   v 330 : 0
   v 331 : 6.66628e-16
   v 332 : 3.29951e-16
   v 333 : 1.19836e-09
   v 334 : 0
   v 335 : 6.66628e-16
   v 336 : 3.29951e-16
   v 337 : 1.19836e-09
   v 338 : 0
   v 339 : 6.66628e-16
   v 340 : 3.29951e-16
   v 341 : 1.19836e-09
   v 342 : 0
   v 343 : 6.66628e-16
   v 344 : 3.29951e-16
   v 345 : 1.19836e-09
   v 346 : 0
   v 347 : 6.66628e-16
   v 348 : 3.29951e-16
   v 349 : 1.19836e-09
   v 350 : 0
   v 351 : 6.66628e-16
   v 352 : 3.29951e-16
   v 353 : 1.19836e-09
   v 354 : 0
   v 355 : 6.66628e-16
   v 356 : 3.29951e-16
   v 357 : 1.19836e-09
   v 358 : 0
   v 359 : 6.66628e-16
   v 360 : 3.29951e-16
   v 361 : 1.19836e-09
